TIME,Value,,,,,,,,
1969-01,0.2816902,,,,,,,,
1969-02,0.5617977,,,,,,,,
1969-03,0.8379889,,,,,,,,
1969-04,0.5540166,,,,,,,,
1969-05,0.2754821,,,,,,,,
1969-06,0.5494506,,,,,,,,
1969-07,0.5464481,,,,,,,,
1969-08,0.5434783,,,,,,,,
1969-09,0.2702703,,,,,,,,
1969-10,0.5390835,,,,,,,,
1969-11,0.536193,,,,,,,,
1969-12,0.5333334,,,,,,,,
1970-01,0.265252,,,,,,,,
1970-02,0.5291005,,,,,,,,
1970-03,0.5263158,,,,,,,,
1970-04,0.7853403,,,,,,,,
1970-05,0.2597403,,,,,,,,
1970-06,0.5181347,,,,,,,,
1970-07,0.5154639,,,,,,,,
1970-08,0,,,,,,,,
1970-09,0.5128205,,,,,,,,
1970-10,0.5102041,,,,,,,,
1970-11,0.5076142,,,,,,,,
1970-12,0.5050505,,,,,,,,
1971-01,0,,,,,,,,
1971-02,0.2512563,,,,,,,,
1971-03,0.2506266,,,,,,,,
1971-04,0.25,,,,,,,,
1971-05,0.4987531,,,,,,,,
1971-06,0.7444169,,,,,,,,
1971-07,0.2463054,,,,,,,,
1971-08,0.2457002,,,,,,,,
1971-09,0,,,,,,,,
1971-10,0.245098,,,,,,,,
1971-11,0,,,,,,,,
1971-12,0.4889975,,,,,,,,
1972-01,0,,,,,,,,
1972-02,0.486618,,,,,,,,
1972-03,0.2421308,,,,,,,,
1972-04,0.2415459,,,,,,,,
1972-05,0.2409639,,,,,,,,
1972-06,0.2403846,,,,,,,,
1972-07,0.4796163,,,,,,,,
1972-08,0.2386635,,,,,,,,
1972-09,0.2380952,,,,,,,,
1972-10,0.4750594,,,,,,,,
1972-11,0.2364066,,,,,,,,
1972-12,0.2358491,,,,,,,,
1973-01,0.2352941,,,,,,,,
1973-02,0.7042254,,,,,,,,
1973-03,0.9324009,,,,,,,,
1973-04,0.6928406,,,,,,,,
1973-05,0.6880734,,,,,,,,
1973-06,0.6833713,,,,,,,,
1973-07,0.2262443,,,,,,,,
1973-08,1.805869,,,,,,,,
1973-09,0.2217295,,,,,,,,
1973-10,0.8849558,,,,,,,,
1973-11,0.6578947,,,,,,,,
1973-12,0.6535948,,,,,,,,
1974-01,0.8658009,,,,,,,,
1974-02,1.287554,,,,,,,,
1974-03,1.271186,,,,,,,,
1974-04,0.41841,,,,,,,,
1974-05,1.25,,,,,,,,
1974-06,0.8230453,,,,,,,,
1974-07,0.8163266,,,,,,,,
1974-08,1.214575,,,,,,,,
1974-09,1.2,,,,,,,,
1974-10,0.9881423,,,,,,,,
1974-11,0.7827789,,,,,,,,
1974-12,0.776699,,,,,,,,
1975-01,0.3853565,,,,,,,,
1975-02,0.7677543,,,,,,,,
1975-03,0.3809524,,,,,,,,
1975-04,0.3795066,,,,,,,,
1975-05,0.5671077,,,,,,,,
1975-06,0.7518797,,,,,,,,
1975-07,1.119403,,,,,,,,
1975-08,0.1845018,,,,,,,,
1975-09,0.5524862,,,,,,,,
1975-10,0.5494506,,,,,,,,
1975-11,0.7285975,,,,,,,,
1975-12,0.3616636,,,,,,,,
1976-01,0.1801802,,,,,,,,
1976-02,0.3597122,,,,,,,,
1976-03,0.1792115,,,,,,,,
1976-04,0.3577818,,,,,,,,
1976-05,0.7130125,,,,,,,,
1976-06,0.5309734,,,,,,,,
1976-07,0.528169,,,,,,,,
1976-08,0.525394,,,,,,,,
1976-09,0.3484321,,,,,,,,
1976-10,0.5208333,,,,,,,,
1976-11,0.1727116,,,,,,,,
1976-12,0.3448276,,,,,,,,
1977-01,0.5154639,,,,,,,,
1977-02,1.025641,,,,,,,,
1977-03,0.676819,,,,,,,,
1977-04,0.8403361,,,,,,,,
1977-05,0.5,,,,,,,,
1977-06,0.6633499,,,,,,,,
1977-07,0.4942339,,,,,,,,
1977-08,0.3278688,,,,,,,,
1977-09,0.3267974,,,,,,,,
1977-10,0.3257329,,,,,,,,
1977-11,0.487013,,,,,,,,
1977-12,0.3231018,,,,,,,,
1978-01,0.6441224,,,,,,,,
1978-02,0.64,,,,,,,,
1978-03,0.7949126,,,,,,,,
1978-04,0.7886435,,,,,,,,
1978-05,0.9389671,,,,,,,,
1978-06,1.085271,,,,,,,,
1978-07,0.7668712,,,,,,,,
1978-08,0.456621,,,,,,,,
1978-09,0.7575758,,,,,,,,
1978-10,0.9022557,,,,,,,,
1978-11,0.4470939,,,,,,,,
1978-12,0.4451039,,,,,,,,
1979-01,0.886263,,,,,,,,
1979-02,1.171303,,,,,,,,
1979-03,1.013025,,,,,,,,
1979-04,1.146132,,,,,,,,
1979-05,1.274788,,,,,,,,
1979-06,1.118881,,,,,,,,
1979-07,1.106501,,,,,,,,
1979-08,0.9575924,,,,,,,,
1979-09,1.084011,,,,,,,,
1979-10,0.8042895,,,,,,,,
1979-11,0.930851,,,,,,,,
1979-12,1.054018,,,,,,,,
1980-01,1.434159,,,,,,,,
1980-02,1.413882,,,,,,,,
1980-03,1.520913,,,,,,,,
1980-04,1.123595,,,,,,,,
1980-05,0.9876543,,,,,,,,
1980-06,1.100245,,,,,,,,
1980-07,0,,,,,,,,
1980-08,0.7255139,,,,,,,,
1980-09,0.8403361,,,,,,,,
1980-10,0.952381,,,,,,,,
1980-11,0.8254717,,,,,,,,
1980-12,0.9356725,,,,,,,,
1981-01,0.811124,,,,,,,,
1981-02,1.034483,,,,,,,,
1981-03,0.6825939,,,,,,,,
1981-04,0.6779661,,,,,,,,
1981-05,0.7856341,,,,,,,,
1981-06,0.8908686,,,,,,,,
1981-07,1.103753,,,,,,,,
1981-08,0.7641922,,,,,,,,
1981-09,0.9750813,,,,,,,,
1981-10,0.2145923,,,,,,,,
1981-11,0.3211991,,,,,,,,
1981-12,0.3201708,,,,,,,,
1982-01,0.3191489,,,,,,,,
1982-02,0.3181336,,,,,,,,
1982-03,-0.1057082,,,,,,,,
1982-04,0.4232804,,,,,,,,
1982-05,0.9483667,,,,,,,,
1982-06,1.25261,,,,,,,,
1982-07,0.5154639,,,,,,,,
1982-08,0.2051282,,,,,,,,
1982-09,0.2047083,,,,,,,,
1982-10,0.3064351,,,,,,,,
1982-11,-0.203666,,,,,,,,
1982-12,-0.4081633,,,,,,,,
1983-01,0.204918,,,,,,,,
1983-02,0.1022495,,,,,,,,
1983-03,0,,,,,,,,
1983-04,0.7150153,,,,,,,,
1983-05,0.6085193,,,,,,,,
1983-06,0.3024194,,,,,,,,
1983-07,0.4020101,,,,,,,,
1983-08,0.3003003,,,,,,,,
1983-09,0.499002,,,,,,,,
1983-10,0.2979146,,,,,,,,
1983-11,0.1980198,,,,,,,,
1983-12,0.09881423,,,,,,,,
1984-01,0.5923001,,,,,,,,
1984-02,0.4906771,,,,,,,,
1984-03,0.1953125,,,,,,,,
1984-04,0.4873294,,,,,,,,
1984-05,0.2909796,,,,,,,,
1984-06,0.2901354,,,,,,,,
1984-07,0.3857281,,,,,,,,
1984-08,0.3842459,,,,,,,,
1984-09,0.4784689,,,,,,,,
1984-10,0.2857143,,,,,,,,
1984-11,0,,,,,,,,
1984-12,0,,,,,,,,
1985-01,0.1899335,,,,,,,,
1985-02,0.4739336,,,,,,,,
1985-03,0.3773585,,,,,,,,
1985-04,0.4699248,,,,,,,,
1985-05,0.3741815,,,,,,,,
1985-06,0.2795899,,,,,,,,
1985-07,0.1858736,,,,,,,,
1985-08,0.1855288,,,,,,,,
1985-09,0.2777778,,,,,,,,
1985-10,0.3693444,,,,,,,,
1985-11,0.275989,,,,,,,,
1985-12,0.2752294,,,,,,,,
1986-01,0.2744739,,,,,,,,
1986-02,-0.2737226,,,,,,,,
1986-03,-0.4574565,,,,,,,,
1986-04,-0.1838235,,,,,,,,
1986-05,0.2762431,,,,,,,,
1986-06,0.5509642,,,,,,,,
1986-07,0,,,,,,,,
1986-08,0.1826484,,,,,,,,
1986-09,0.4557885,,,,,,,,
1986-10,0.0907441,,,,,,,,
1986-11,0.09066183,,,,,,,,
1986-12,0.09057971,,,,,,,,
1987-01,0.6334842,,,,,,,,
1987-02,0.3597122,,,,,,,,
1987-03,0.4480287,,,,,,,,
1987-04,0.5352364,,,,,,,,
1987-05,0.3549246,,,,,,,,
1987-06,0.3536693,,,,,,,,
1987-07,0.2643172,,,,,,,,
1987-08,0.5272408,,,,,,,,
1987-09,0.5244755,,,,,,,,
1987-10,0.2608696,,,,,,,,
1987-11,0.08673027,,,,,,,,
1987-12,0,,,,,,,,
1988-01,0.2599653,,,,,,,,
1988-02,0.2592913,,,,,,,,
1988-03,0.4310345,,,,,,,,
1988-04,0.5150214,,,,,,,,
1988-05,0.3415884,,,,,,,,
1988-06,0.4255319,,,,,,,,
1988-07,0.4237288,,,,,,,,
1988-08,0.4219409,,,,,,,,
1988-09,0.6722689,,,,,,,,
1988-10,0.3338898,,,,,,,,
1988-11,0.08319467,,,,,,,,
1988-12,0.166251,,,,,,,,
1989-01,0.4979253,,,,,,,,
1989-02,0.4128819,,,,,,,,
1989-03,0.5756579,,,,,,,,
1989-04,0.6541292,,,,,,,,
1989-05,0.5686434,,,,,,,,
1989-06,0.2423263,,,,,,,,
1989-07,0.2417405,,,,,,,,
1989-08,0.1607717,,,,,,,,
1989-09,0.3210273,,,,,,,,
1989-10,0.48,,,,,,,,
1989-11,0.2388535,,,,,,,,
1989-12,0.1588562,,,,,,,,
1990-01,1.030928,,,,,,,,
1990-02,0.4709576,,,,,,,,
1990-03,0.546875,,,,,,,,
1990-04,0.1554002,,,,,,,,
1990-05,0.2327386,,,,,,,,
1990-06,0.5417957,,,,,,,,
1990-07,0.3849115,,,,,,,,
1990-08,0.9202454,,,,,,,,
1990-09,0.8358663,,,,,,,,
1990-10,0.6028636,,,,,,,,
1990-11,0.2247191,,,,,,,,
1990-12,0,,,,,,,,
1991-01,0.5979073,,,,,,,,
1991-02,0.1485884,,,,,,,,
1991-03,0.148368,,,,,,,,
1991-04,0.1481481,,,,,,,,
1991-05,0.295858,,,,,,,,
1991-06,0.2949853,,,,,,,,
1991-07,0.1470588,,,,,,,,
1991-08,0.2936858,,,,,,,,
1991-09,0.4392387,,,,,,,,
1991-10,0.1457726,,,,,,,,
1991-11,0.2911208,,,,,,,,
1991-12,0.07256894,,,,,,,,
1992-01,0.1450326,,,,,,,,
1992-02,0.3620565,,,,,,,,
1992-03,0.5050505,,,,,,,,
1992-04,0.143575,,,,,,,,
1992-05,0.1433692,,,,,,,,
1992-06,0.3579098,,,,,,,,
1992-07,0.21398,,,,,,,,
1992-08,0.2846975,,,,,,,,
1992-09,0.2838893,,,,,,,,
1992-10,0.353857,,,,,,,,
1992-11,0.1410437,,,,,,,,
1992-12,-0.07042254,,,,,,,,
1993-01,0.4933051,,,,,,,,
1993-02,0.3506311,,,,,,,,
1993-03,0.349406,,,,,,,,
1993-04,0.2785515,,,,,,,,
1993-05,0.1388889,,,,,,,,
1993-06,0.1386963,,,,,,,,
1993-07,0,,,,,,,,
1993-08,0.2770083,,,,,,,,
1993-09,0.2071823,,,,,,,,
1993-10,0.4135079,,,,,,,,
1993-11,0.06863418,,,,,,,,
1993-12,0,,,,,,,,
1994-01,0.2743484,,,,,,,,
1994-02,0.3419973,,,,,,,,
1994-03,0.3408316,,,,,,,,
1994-04,0.1358696,,,,,,,,
1994-05,0.0678426,,,,,,,,
1994-06,0.3389831,,,,,,,,
1994-07,0.2702703,,,,,,,,
1994-08,0.4043127,,,,,,,,
1994-09,0.2684564,,,,,,,,
1994-10,0.06693441,,,,,,,,
1994-11,0.1337793,,,,,,,,
1994-12,0,,,,,,,,
1995-01,0.4008016,,,,,,,,
1995-02,0.3992016,,,,,,,,
1995-03,0.3313453,,,,,,,,
1995-04,0.330251,,,,,,,,
1995-05,0.1974984,,,,,,,,
1995-06,0.1971091,,,,,,,,
1995-07,0,,,,,,,,
1995-08,0.2622951,,,,,,,,
1995-09,0.1962067,,,,,,,,
1995-10,0.3263707,,,,,,,,
1995-11,-0.06506181,,,,,,,,
1995-12,-0.06510416,,,,,,,,
1996-01,0.5863192,,,,,,,,
1996-02,0.3238342,,,,,,,,
1996-03,0.5164622,,,,,,,,
1996-04,0.3853565,,,,,,,,
1996-05,0.1919386,,,,,,,,
1996-06,0.06385696,,,,,,,,
1996-07,0.1914486,,,,,,,,
1996-08,0.1910828,,,,,,,,
1996-09,0.3178639,,,,,,,,
1996-10,0.3168568,,,,,,,,
1996-11,0.1895136,,,,,,,,
1996-12,0,,,,,,,,
1997-01,0.3152585,,,,,,,,
1997-02,0.3142678,,,,,,,,
1997-03,0.2506266,,,,,,,,
1997-04,0.125,,,,,,,,
1997-05,-0.06242197,,,,,,,,
1997-06,0.1249219,,,,,,,,
1997-07,0.1247661,,,,,,,,
1997-08,0.1869159,,,,,,,,
1997-09,0.2487562,,,,,,,,
1997-10,0.248139,,,,,,,,
1997-11,-0.06188119,,,,,,,,
1997-12,-0.123839,,,,,,,,
1998-01,0.1859888,,,,,,,,
1998-02,0.1856436,,,,,,,,
1998-03,0.1852996,,,,,,,,
1998-04,0.1849568,,,,,,,,
1998-05,0.1846154,,,,,,,,
1998-06,0.1228501,,,,,,,,
1998-07,0.1226994,,,,,,,,
1998-08,0.122549,,,,,,,,
1998-09,0.122399,,,,,,,,
1998-10,0.2444988,,,,,,,,
1998-11,0,,,,,,,,
1998-12,-0.06097561,,,,,,,,
