TIME,Value,,,,,,
1969-01,6.5,,,,,,
1969-02,6.52,,,,,,
1969-03,6.65,,,,,,
1969-04,6.84,,,,,,
1969-05,7.28,,,,,,
1969-06,8.01,,,,,,
1969-07,8.69,,,,,,
1969-08,8.38,,,,,,
1969-09,8.47,,,,,,
1969-10,8.56,,,,,,
1969-11,8.46,,,,,,
1969-12,8.77,,,,,,
1970-01,8.91,,,,,,
1970-02,8.58,,,,,,
1970-03,8.08,,,,,,
1970-04,7.51,,,,,,
1970-05,8.08,,,,,,
1970-06,8.07,,,,,,
1970-07,8.01,,,,,,
1970-08,7.72,,,,,,
1970-09,7.3,,,,,,
1970-10,6.76,,,,,,
1970-11,6.08,,,,,,
1970-12,5.67,,,,,,
1971-01,5.09,,,,,,
1971-02,4.38,,,,,,
1971-03,3.85,,,,,,
1971-04,4.45,,,,,,
1971-05,4.98,,,,,,
1971-06,5.4,,,,,,
1971-07,5.75,,,,,,
1971-08,5.74,,,,,,
1971-09,5.63,,,,,,
1971-10,5.27,,,,,,
1971-11,4.87,,,,,,
1971-12,4.65,,,,,,
1972-01,3.95,,,,,,
1972-02,3.61,,,,,,
1972-03,4.08,,,,,,
1972-04,4.6,,,,,,
1972-05,4.41,,,,,,
1972-06,4.64,,,,,,
1972-07,4.82,,,,,,
1972-08,4.85,,,,,,
1972-09,5.13,,,,,,
1972-10,5.25,,,,,,
1972-11,5.22,,,,,,
1972-12,5.43,,,,,,
1973-01,5.81,,,,,,
1973-02,6.34,,,,,,
1973-03,7.05,,,,,,
1973-04,7.31,,,,,,
1973-05,7.55,,,,,,
1973-06,8.16,,,,,,
1973-07,9.7,,,,,,
1973-08,10.77,,,,,,
1973-09,10.59,,,,,,
1973-10,9.2,,,,,,
1973-11,9.24,,,,,,
1973-12,9.27,,,,,,
1974-01,9,,,,,,
1974-02,8.08,,,,,,
1974-03,8.84,,,,,,
1974-04,10.25,,,,,,
1974-05,11.2,,,,,,
1974-06,11.38,,,,,,
1974-07,12.25,,,,,,
1974-08,12.23,,,,,,
1974-09,11.6,,,,,,
1974-10,9.78,,,,,,
1974-11,9.09,,,,,,
1974-12,9.23,,,,,,
1975-01,7.48,,,,,,
1975-02,6.41,,,,,,
1975-03,6.18,,,,,,
1975-04,6.26,,,,,,
1975-05,5.79,,,,,,
1975-06,5.82,,,,,,
1975-07,6.55,,,,,,
1975-08,6.87,,,,,,
1975-09,7.03,,,,,,
1975-10,6.56,,,,,,
1975-11,6.26,,,,,,
1975-12,6.03,,,,,,
1976-01,5.14,,,,,,
1976-02,5.18,,,,,,
1976-03,5.34,,,,,,
